"Detroit/Windsor",5976595,42.3237809,-83.0432559
"Niagara Falls",142408,43.0997249,-79.0644989
"Port Edward/Port Huron",105776,42.9826368,-82.4234449
"Sault Ste. Marie",93944,46.5083206,-84.3631449
"St. Stephen/Calais",7636,45.1918387,-67.2884189
